157,CYHZ,YHZ,Halifax,Stanfield Intl,44.88083333,-63.50861111,477,121.0,-18,America/Halifax,1
158,CYIB,YIB,Atikokan,,48.77388889,-91.63861111,1408,,-1,America/Atikokan,1
159,CYIO,YIO,Pond Inlet,,72.68944444,-77.96888889,181,,-42,America/Iqaluit,1
160,CYIV,YIV,Island Lake,,53.85722222,-94.65361111,773,,0,America/Winnipeg,1
161,CYJA,,Jasper,,52.99666667,-118.05944444,3350,,17,America/Edmonton,1
162,CYJN,YJN,St-Jean,,45.29444444,-73.28111111,136,,-15,America/Montreal,1
163,CYJT,YJT,Stephenville,,48.54416667,-58.55,80,,-20,America/St_Johns,1
164,CYKA,YKA,Kamloops,,50.70138889,-120.44444444,1133,,17,America/Vancouver,1
165,CYKF,YKF,Kitchener,Waterloo,43.45888889,-80.3775,1054,125.1,-10,America/Toronto,1
166,CYKL,YKL,Schefferville,,54.80527778,-66.80527778,1709,,-22,America/Montreal,1
167,CYKY,YKY,Kindersley,,51.51527778,-109.18055556,2277,,13,America/Regina,1
168,CYKZ,YKZ,Toronto,Buttonville Municipal,43.86222222,-79.37,650,127.1,-11,America/Toronto,1
169,CYLA,YPJ,Aupaluk,,59.29666667,-69.59972222,119,,-25,America/Montreal,1
170,CYLC,YLC,Kimmirut,,62.85,-69.88333333,175,,-29,America/Iqaluit,1
171,CYLD,YLD,Chapleau,,47.82,-83.34666667,1470,,-9,America/Toronto,1
172,CYLJ,YLJ,Meadow Lake,,54.12527778,-108.52277778,1576,,13,America/Regina,1
173,CYLL,YLL,Lloydminster,,53.30916667,-110.0725,2194,,14,America/Edmonton,1
175,CYLT,YLT,Alert,,82.51777778,-62.28055556,100,,-57,America/Pangnirtung,1
176,CYLW,YLW,Kelowna,,49.95722222,-119.37777778,1421,127.5,17,America/Vancouver,1
178,CYMA,YMA,Mayo,,63.61638889,-135.86833333,1653,,23,America/Whitehorse,1
180,CYMJ,YMJ,Moose Jaw,Air Vice Marshal C.M. McEwen,50.33027778,-105.55916667,1892,257.8,10,America/Regina,1
181,CYMM,YMM,Fort McMurray,,56.65333333,-111.22333333,1211,128.5,15,America/Edmonton,1
182,CYMO,YMO,Moosonee,,51.29111111,-80.60777778,30,,-13,America/Toronto,1
184,CYMW,YMW,Maniwaki,,46.27277778,-75.99055556,656,,-14,America/Montreal,1
185,CYMX,YMX,Montreal,Mirabel,45.68194444,-74.00527778,270,125.7,-15,America/Montreal,1
186,CYNA,YNA,Natashquan,,50.19,-61.78888889,39,,-21,America/Montreal,1
187,CYND,YND,Ottawa,Gatineau,45.52138889,-75.56416667,211,,-14,America/Montreal,1
189,CYNM,YNM,Matagami,,49.76166667,-77.80277778,918,,-14,America/Montreal,1
192,CYOC,YOC,Old Crow,,67.57055556,-139.83916667,824,,24,America/Whitehorse,1
193,CYOD,YOD,Cold Lake,Group Captain R.W. McNair,54.405,-110.27944444,1775,260.0,14,America/Edmonton,1
194,CYOJ,YOJ,High Level,,58.62138889,-117.16472222,1110,,19,America/Edmonton,1
195,CYOW,YOW,Ottawa,Macdonald-Cartier Intl,45.3225,-75.66916667,374,121.15,-14,America/Toronto,1
196,CYPA,YPA,Prince Albert,Glass Field,53.21416667,-105.67277778,1405,,11,America/Regina,1
197,CYPE,YPE,Peace River,,56.22694444,-117.44722222,1873,,18,America/Edmonton,1
199,CYPG,YPG,Portage La Prairie,Southport,49.90305556,-98.27388889,885,120.85,5,America/Winnipeg,1
200,CYPH,YPH,Inukjuak,,58.47194444,-78.07694444,83,,-20,America/Montreal,1
201,CYPK,,Pitt Meadows,,49.21611111,-122.71,11,125.0,17,America/Vancouver,1
202,CYPL,YPL,Pickle Lake,,51.44638889,-90.21416667,1267,,-4,America/Toronto,1
203,CYPN,YPN,Port-Menier,,49.83638889,-64.28861111,167,,-20,America/Montreal,1
204,CYPQ,YPQ,Peterborough,,44.23,-78.36333333,628,,-11,America/Toronto,1
205,CYPR,YPR,Prince Rupert,,54.28611111,-130.44472222,116,,20,America/Vancouver,1
206,CYPY,YPY,Fort Chipewyan,,58.76722222,-111.11722222,781,,16,America/Edmonton,1
207,CYQA,YQA,Muskoka,,44.97472222,-79.30333333,925,,-11,America/Toronto,1
208,CYQB,YQB,Quebec,Jean Lesage Intl,46.79111111,-71.39333333,244,134.6,-17,America/Montreal,1
209,CYQF,YQF,Red Deer,,52.18222222,-113.89444444,2968,124.0,15,America/Edmonton,1
210,CYQG,YQG,Windsor,,42.27555556,-82.95555556,622,134.5,-7,America/Toronto,1
211,CYQH,YQH,Watson Lake,,60.11638889,-128.8225,2255,,22,America/Whitehorse,1
212,CYQK,YQK,Kenora,,49.78833333,-94.36305556,1344,,1,America/Winnipeg,1
213,CYQL,YQL,Lethbridge,,49.63027778,-112.79972222,3048,124.4,14,America/Edmonton,1
214,CYQM,YQM,Moncton,Greater Moncton Intl,46.11222222,-64.67861111,232,128.65,-19,America/Moncton,1
215,CYQN,YQN,Nakina,,50.18277778,-86.69638889,1057,,-7,America/Toronto,1
216,CYQQ,YQQ,Comox,,49.71083333,-124.88666667,84,118.6,18,America/Vancouver,1
217,CYQR,YQR,Regina,,50.43194444,-104.66583333,1894,127.0,10,America/Regina,1
218,CYQT,YQT,Thunder Bay,,48.37194444,-89.32388889,653,128.8,-4,America/Thunder_Bay,1
219,CYQU,YQU,Grande Prairie,,55.17972222,-118.885,2195,128.6,18,America/Edmonton,1
220,CYQV,YQV,Yorkton,,51.26472222,-102.46166667,1635,,8,America/Regina,1
221,CYQW,YQW,North Battleford,Cameron McIntosh,52.76916667,-108.24361111,1799,,12,America/Regina,1
222,CYQX,YQX,Gander,,48.93694444,-54.56805556,496,124.8,-20,America/St_Johns,1
223,CYQY,YQY,Sydney,,46.16138889,-60.04805556,203,,-19,America/Glace_Bay,1
224,CYQZ,YQZ,Quesnel,,53.02611111,-122.51027778,1788,,19,America/Vancouver,1
225,CYRB,YRB,Resolute Bay,,74.71694444,-94.96944444,215,,-28,America/Resolute,1
226,CYRI,YRI,Riviere-Du-Loup,,47.76444444,-69.58444444,426,,-18,America/Montreal,1
227,CYRJ,YRJ,Roberval,,48.52,-72.26555556,586,,-17,America/Montreal,1
228,CYRM,YRM,Rocky Mountain House,,52.42972222,-114.90416667,3244,,16,America/Edmonton,1
229,CYRT,YRT,Rankin Inlet,,62.81138889,-92.11583333,94,,-8,America/Rankin_Inlet,1
232,CYSB,YSB,Sudbury,,46.625,-80.79888889,1141,127.4,-10,America/Toronto,1
233,CYSC,YSC,Sherbrooke,,45.43861111,-71.69138889,792,,-16,America/Montreal,1
234,CYSD,,Suffield,,50.26666667,-111.18333333,2525,,-6,America/Toronto,1
