wptname,region,airways,direction,chapter,page,alternates,aircraft,chart,ACL,updatedAt,createdAt,objectId
BND,IRAN,A453,OUTBOUND,10.1,27-72,"OIZH, OMAA, OMDB",Widebody,,,,,
NABOX,IRAN,A453,OUTBOUND,10.1,27-72,"OIZH, OMAA, OMDB",Widebody,,,,,
ZDN,IRAN,A453,OUTBOUND,10.1,27-72,"OIZH, OMAA, OMDB",Widebody,,,,,
DASDO,IRAN,Q2,OUTBOUND,10.1,28-72,"OISS, OEDF, OBBI, OTHH, OMAA",Widebody,,,,,
YSJ,IRAN,Q2,OUTBOUND,10.1,28-72,"OISS, OEDF, OBBI, OTHH, OMAA",Widebody,,,,,
KASOL,IRAN,Q1,OUTBOUND,10.1,29-72,"OISS, OEDF, OBBI, OTHH, OMAA",Widebody,,,,,
YSJ,IRAN,Q1,OUTBOUND,10.1,29-72,"OISS, OEDF, OBBI, OTHH, OMAA",Widebody,,,,,
SYZ,IRAN,Q1,OUTBOUND,10.1,29-72,"OISS, OEDF, OBBI, OTHH, OMAA",Widebody,,,,,
YSJ,IRAN,Q1,OUTBOUND,10.1,30-72,"OKBK, OEDF, OBBI, OTHH, OMAA",Widebody,,,,,
60NM NW YSJ,IRAN,Q1,OUTBOUND,10.1,30-72,"OKBK, OEDF, OBBI, OTHH, OMAA",Widebody,,,,,
60NM NW YSJ,IRAN,Q1,OUTBOUND,10.1,31-72,"OKBK, OEDF, OBBI, OTHH, OMAA",Widebody,,,,,
NOTSA,IRAN,Q1,OUTBOUND,10.1,32-72,"OIIE, OIII",Widebody,,,,,
LOVID,IRAN,Q1,OUTBOUND,10.1,32-72,"OIIE, OIII",Widebody,,,,,
BND,IRAN,W32,OUTBOUND,10.1,34-72,"OIKK, OIKB, OMSJ, OMDB, OMAA",Widebody,,,,,
SRJ,IRAN,W32,OUTBOUND,10.1,34-72,"OIKK, OIKB, OMSJ, OMDB, OMAA",Widebody,,,,,
DESLA,IRAN,W32,OUTBOUND,10.1,34-72,"OIKK, OIKB, OMSJ, OMDB, OMAA",Widebody,,,,,
DESLA,IRAN,W32,OUTBOUND,10.1,35-72,"OIFM, OIIE, OIII",Widebody,,,,,
YZD,IRAN,W32,OUTBOUND,10.1,35-72,"OIFM, OIIE, OIII",Widebody,,,,,
ANK,IRAN,W32,OUTBOUND,10.1,35-72,"OIFM, OIIE, OIII",Widebody,,,,,
ANK,IRAN,"UL125, G208",OUTBOUND,10.1,36-72,"OIIE, OIII",Widebody,,,,,
RADAL,IRAN,"UL125, G208",OUTBOUND,10.1,36-72,"OIIE, OIII",Widebody,,,,,
EGPAT,IRAN,"UP574, R654, UL124",INBOUND,10.1,37-72,"OIIE, OIFM",Widebody,,,,,
EGVEL,IRAN,"UP574, R654, UL124",INBOUND,10.1,37-72,"OIIE, OIFM",Widebody,,,,,
SAV,IRAN,"UP574, R654, UL124",INBOUND,10.1,37-72,"OIIE, OIFM",Widebody,,,,,
RUS,IRAN,"UP574, R654, UL124",INBOUND,10.1,37-72,"OIIE, OIFM",Widebody,,,,,
KUPTO,IRAN,"UP574, G666",INBOUND,10.1,38-72,"OIFM, OISS",Widebody,,,,,
SYZ,IRAN,"UP574, G666",INBOUND,10.1,38-72,"OIFM, OISS",Widebody,,,,,
OBTUX,IRAN,"UP574, G666",INBOUND,10.1,38-72,"OIFM, OISS",Widebody,,,,,
LOXAK,IRAN,"UP574, G666",INBOUND,10.1,38-72,"OIFM, OISS",Widebody,,,,,
EGPAT,IRAN,"UP574, G666",INBOUND,10.1,38-72,"OIFM, OISS",Widebody,,,,,
ALRAM,IRAN,Q3,INBOUND,10.1,39-72,OITT,Widebody,,,,,
KAPES,IRAN,Q3,INBOUND,10.1,39-72,OITT,Widebody,,,,,
UMH,IRAN,UL223,INBOUND,10.1,40-72,OITT,Widebody,,,,,
SNJ,IRAN,UL223,INBOUND,10.1,40-72,OITT,Widebody,,,,,
MESVI,IRAN,UL223,INBOUND,10.1,41-72,"OKBK, OEDF, OBBI, OTBD",Widebody,,,,,
ALTAX,IRAN,UL223,INBOUND,10.1,41-72,"OKBK, OEDF, OBBI, OTBD",Widebody,,,,,
