FTTJ;NDJ;N'Djamena;Hassan Djamous;12.125;15.02472222;968;0;Africa/Ndjamena;1
RJGG;NGO;Nagoya;Chubu Centrair Intl;34.85833333;136.80527778;12;-7;Asia/Tokyo;1
HKJK;NBO;Nairobi;Jomo Kenyatta;-1.31924167;36.927775;5327;0;Africa/Nairobi;1
UTSA;NVI;Navoi;;40.1172;65.1708;1253;5;Asia/Samarkand;1
KJFK;JFK;New York;John F Kennedy Intl;40.63975111;-73.77892556;13;-13;America/New_York;1
FMNN;NOS;Nosy-Be;Fascene;-13.31805556;48.30916667;37;-9;Indian/Antananarivo;1
LFPG;CDG;Paris;Charles De Gaulle;49.00972222;2.54777778;392;-1;Europe/Paris;1
YPPH;PER;Perth;;-31.94;115.96666667;67;-2;Australia/Perth;1
OPPS;PEW;Peshawar;International;33.993911;71.514581;1158;2;Asia/Karachi;1
VTSP;HKT;Phuket;;8.1125;98.30916667;82;-1;Asia/Bangkok;1
LKPR;PRG;Praha;Ruzyne;50.10083333;14.26;1247;3;Europe/Prague;1
OERK;RUH;Riyadh;King Khaled International;24.96264417;46.70804056;2049;3;Asia/Riyadh;1
LIRF;FCO;Roma;Fiumicino;41.80027778;12.23888889;13;2;Europe/Rome;1
OYSN;SAH;Sana'a;International;15.476258;44.219739;7216;2;Asia/Aden;1
KSFO;SFO;San Francisco;San Francisco Intl;37.61897222;-122.37488889;13;14;America/Los_Angeles;1
SBGR;GRU;Sao Paulo;Guarulhos, Governador Andre Franco Montoro;-23.43555556;-46.47305556;2459;-20;America/Sao_Paulo;1
RKSI;ICN;Seoul;Incheon;37.4625;126.43916667;23;-8;Asia/Seoul;1
FSIA;SEZ;Mahe;Seychelles International;-4.674342;55.521839;10;-5;Indian/Mahe;1
ZSPD;PVG;Shanghai;Pudong;31.143378;121.805214;13;-5;Asia/Shanghai;1
OMSJ;SHJ;Sharjah;International;25.328575;55.51715;111;2;Asia/Dubai;1
WSSS;SIN;Singapore;Changi;1.35921111;103.98933333;22;0;Asia/Singapore;1
ESSA;ARN;Stockholm;Arlanda;59.65194444;17.91861111;137;5;Europe/Stockholm;1
EDDS;STR;Stuttgart;;48.68987778;9.22196389;1276;1;Europe/Berlin;1
ORSU;OSO;Sulimaniyah;International;35.5608;45.31471667;2492;5;Asia/Baghdad;1
YSSY;SYD;Sydney;Kingsford Smith;-33.94666667;151.17666667;21;13;Australia/Sydney;1
OIIE;IKA;Tehran;Imam Khomaini;35.41611111;51.15222222;3307;4;Asia/Tehran;1
VOTV;TRV;Thiruvananthapuram;;8.47975;76.91980556;15;-2;Asia/Kolkata;1
LGTS;SKG;Thessaloniki;Macedonia;40.519725;22.97095;22;4;Europe/Athens;1
RJAA;NRT;Tokyo;Narita Intl;35.76527778;140.38555556;135;-7;Asia/Tokyo;1
CYYZ;YYZ;Toronto;Lester B. Pearson Intl;43.67722222;-79.63055556;569;-12;America/Toronto;1
HLLT;TIP;Tripoli;International;32.663544;13.159011;263;2;Africa/Tripoli;1
HLLM;MJI;Tripoli;Mitiga;32.8941;13.276;36;2;Africa/Tripoli;1
LOWW;VIE;Wien;Schwechat;48.11027778;16.56972222;600;3;Europe/Vienna;1
EPWA;WAW;Warszawa;Okecie;52.16575;20.96712222;362;5;Europe/Warsaw;1
KIAD;IAD;Washington;Washington Dulles Intl;38.94744444;-77.45994444;312;-11;America/New_York;1
VYYY;RGN;Yangon;;16.90686111;96.14175;109;-1;Asia/Rangoon;1
UDYZ;EVN;Yerevan;;40.147275;44.39588056;2838;6;Asia/Yerevan;1
LSZH;ZRH;Zurich;;47.45833333;8.54805556;1416;1;Europe/Zurich;1
VOCI;COK;Cochin;;10.15388889;76.40694444;30;-2;Asia/Kolkata;1
